seed_id,route_pair_id,n_A,n_B,admissible_edges,max_matched_slots,median_cost_units,cell_status,bank_id,unmatched_count
SEED_ICLR2026_01a8d63f9cb6dcbaa3092ccddd2075ac,R2,22,5,95,5,107308,MEASURED,4a791e4f8ff00a8638ff9b694dd05ecb81a210f18921b34c6f4cdb87ceadea97,17
SEED_ICLR2026_01a8d63f9cb6dcbaa3092ccddd2075ac,R3,22,9,150,9,170920,MEASURED,4de15fd005d40129067ed94b3eb28b6c112e35db391b77dac17a28253b263fab,13
SEED_ICLR2026_01a8d63f9cb6dcbaa3092ccddd2075ac,R4,0,9,0,0,,MEASURED,cd2c96e94d5b90d52ea86e0f68efcc32a555b03dd6a44f7fae1ec861bb9490c5,9
SEED_ICLR2026_01d845baaa31b1043e5f280592d57dc4,R1,21,0,0,0,,MEASURED,eaaa5fe8d09095e29185896c93d988b1e9d819b1354c317756f65567b3395490,21
SEED_ICLR2026_01d845baaa31b1043e5f280592d57dc4,R2,21,3,58,3,60809,MEASURED,a70a1f2dda4020ce271e8b33677e238ae68a1a45808044c86b105bc09c91e7cc,18
SEED_ICLR2026_01d845baaa31b1043e5f280592d57dc4,R3,21,4,60,4,98597.5,MEASURED,c74cf832527079852b9a026a2a5c19be622829b3892575be8b5dfb78ea5b79ce,17
SEED_ICLR2026_01d845baaa31b1043e5f280592d57dc4,R4,0,4,0,0,,MEASURED,139fa38b2330ea10a1b632a082b6d3b851cbc865b13fbfe34eae7331c0e0db6a,4
SEED_ICLR2026_01db36a646c07c64dd39a92b4eceb417,R1,19,0,0,0,,MEASURED,db5301b34837a7b464f04013143886f24a42a50454e7e98fdb8ba7067c378877,19
SEED_ICLR2026_01db36a646c07c64dd39a92b4eceb417,R2,19,13,214,13,132369,MEASURED,dfe0f6674c65825b4e337dfa999fc30d1d9160e945552b1fc511a453daf4274b,6
SEED_ICLR2026_01db36a646c07c64dd39a92b4eceb417,R3,19,2,36,2,139741.5,MEASURED,332c4cd29f2694630fda5f9cb02b59d6fa55f2ec430833bb6fe5ec1d1e3eae9a,17
SEED_ICLR2026_01db36a646c07c64dd39a92b4eceb417,R4,0,2,0,0,,MEASURED,c6a67d23d2b1c6de67e1c5f4cec64f0ab302933fd891604bfa55269691357d42,2
SEED_ICLR2026_01f819fa28564f5ba4039658b4e43c69,R1,22,0,0,0,,MEASURED,a66be6dc10c0e5639c68da9c6b00441a5d41555e8b045413215c4c26ebcf755e,22
SEED_ICLR2026_01f819fa28564f5ba4039658b4e43c69,R2,22,0,0,0,,MEASURED,0f2538e413adbc8c666835041f67c273de9e9155ecde6e0189d71a3318a07a63,22
SEED_ICLR2026_01f819fa28564f5ba4039658b4e43c69,R3,22,3,48,3,121642,MEASURED,a74f0903c005121cbe9521549072dc8af8d6e895d8659617ebec2d344ef1a6ae,19
SEED_ICLR2026_01f819fa28564f5ba4039658b4e43c69,R4,0,3,0,0,,MEASURED,bae18f2db8090c85bfba2638f6ea4996cf3c38ea68c78bde72fde5b3a616ecf7,3
SEED_ICLR2026_020e313d40a7c060ed07a10cef287750,R1,42,2,63,2,199170.0,MEASURED,1050be82b42fcec4e34dff1ca6570e9971856a42136cbc4a096f029a612db903,40
SEED_ICLR2026_020e313d40a7c060ed07a10cef287750,R2,42,3,113,3,142139,MEASURED,474da6c3fa39f8df0259e53164fa44db740a425a06925e06f2126a3f81716ee8,39
SEED_ICLR2026_020e313d40a7c060ed07a10cef287750,R3,42,7,241,7,71917,MEASURED,41cdbb67cadee3bff7aea587bebc5c65daf7b524018926f0348537a6137e30ce,35
